Id aula;Acrónimo;Nombre;Capacidad;Edificio;Observaciones;;;Edificios: ;1;Ada Byron
28;a01;Aula A.1;120;1;;;;;2;Torres Quevedo
29;a02;Aula A.2;120;1;;;;;3;Betancourt
30;a03;Aula A.3;80;1;;;;;4;Matemáticas
31;a04;Aula A.4;80;1;;;;;;
32;a05;Aula A.5;80;1;;;;;;
33;a06;Aula A.6;80;1;;;;;;
34;a07;Aula A.7;80;1;;;;;;
35;a11;Aula A.11;80;1;;;;;;
36;a12;Aula A.12;80;1;;;;;;
37;a13;Aula A.13;80;1;;;;;;
38;a14;Aula A.14;80;1;;;;;;
39;a15;Aula A.15;80;1;;;;;;
40;a21;Seminario A.21;40;1;;;;;;
41;a22;Seminario A.22;40;1;;;;;;
42;a23;Seminario A.23;40;1;;;;;;
43;a24;Seminario A.24;40;1;;;;;;
44;a25;Seminario A.25;40;1;;;;;;
45;salA1;Sala inform. A.1;15;1;Sala de Usuarios;;;;;
46;salA2;Sala inform. A.2;20;1;;;;;;
47;salA3;Sala inform. A.3;20;1;Windows 2000;;;;;
48;grA;Sala Grados A;294;1;;;;;;
49;L01;L0.01 (PC-Linux);24;1;NT+DOS. Hw esp: linea serie >> En o: intentar no ocupar M y J 17-21 (postgrs);;;;;
50;L02;L0.02 (PC-PFCs);16;1;;;;;;
51;L03;L0.03 (PC);30;1;NT+DOS >> En o: no ocupar L-J 17-21 (postgrs) en p: idem L-X;;;;;
52;L04;L0.04 (PC);30;1;"Linux vale para pract Xterm (gen o esp como FAP) y para ""Unix con CPU local""";;;;;
53;L05a;L0.05 (PC-Maquetas);12;1;NT+DOS. Hw esp: Maquetas micros (inc Xilinx). Sw esp: Matlab Labview Arena ...;;;;;
54;L05b;L0.05 (PC-PLCs);12;1;NT+DOS. Hw esp: PLCs mini micros (inc Xilinx). Sw esp: Matlab Labview Arena PL7 ...;;;;;
55;L06a;L0.06 (PC-PLCs);10;1;NT+DOS. Hw esp: Maquetas EUITI PLCs mini. Sw esp: Matlab Labview Arena PL7 ...;;;;;
56;L06b;L0.06 (PC-SFF);8;1;NT+DOS. Hw esp: SFF PLCs maxi. Sw esp: Matlab Labview Arena PL7 ...;;;;;
57;L06c;L0.06 (PC-Robots);4;1;NT+DOS. Hw & Sw esp: Matlab Robots;;;;;
58;L12;L1.02 (PC-Redes);24;1;NT+DOS. Hw esp: periféricos Zip (Linux salvaje) linea serie // Mac;;;;;
65;L44;L4.04;30;1;Laboratorio electrónica I TE;;;;;
67;L22;L2.02;30;1;Laboratorio señales y sistemas TSC;;;;;
76;L23;L2.03;30;1;Laboratorio redes IT;;;;;
77;L32;Lab. óptica (3.02);30;1;Laboratorio óptica TSC;;;;;
78;L43;L4.03;30;1;Laboratorio elctrónica II TE;;;;;
79;L36;Lab. alta frecuencia (3.06);30;1;Laboratorio alta frecuencia TSC;;;;;
93;L42;L4.02;30;1;Laboratorio elctrónica II TE;;;;;
94;L45;L4.05;30;1;Laboratorio electrónica I TE;;;;;
95;LWeln;Lab. Walqa ELN. L3.01;30;1;Laboratorio electrónica General II TE (Walqa). L3.01 Ada Byron;;;;;
150;semvirt1;Seminarios;;1;Seminarios Edif. Ada Byron;;;;;
153;optativas;Optativas;;1;Optativas Edif. Ada Byron;;;;;
